Name      Parent    Mass        Radius    StateVectors                                                                                                                                    Colour
Sol       None      1.9885e30   696342000 -9.950086305708732E+05,  8.981693961241948E+05,  1.580959086648613E+04, -1.184293406608770E-02, -9.977310948945361E-03,  3.738251265369003E-04  255,245,156
Mercury   Sol       3.302e23    2440000   3.446165061436861E+07, -5.265571861213453E+07, -7.612875939897567E+06,  3.088577668256607E+01,  2.926663542428279E+01, -4.415269799464152E-01   228,218,235
Venus     Sol       48.685e23   6051840   -6.777788735650954E+07, -8.435969444794837E+07,  2.699566952591926E+06,  2.731259266327573E+01, -2.176970456094024E+01, -1.875023163216166E+00  240,212,113
Earth     Sol       5.97219e24  6371010   -2.779038418273609E+07,  1.455313246881248E+08,  8.800740091711283E+03, -2.977742302388713E+01, -5.541990343055767E+00, -8.565662427617582E-05  107,155,250
Luna      Earth     7.349e22    1737530   -2.799727066535989E+07,  1.458568751318572E+08,  3.286459891854972E+04, -3.061409946287052E+01, -6.124051841520339E+00,  6.583915093189630E-02  230,230,230
Mars      Sol       6.4171e23   3389920   9.188662713138714E+07,  2.066960618410965E+08,  2.050023982378051E+06, -2.117842562027357E+01,  1.201705801432902E+01,  7.716536655208373E-01   204,124,90
Phobos    Mars      1.08e16     11100     9.189460351468152E+07,  2.066931932338608E+08,  2.045701083662108E+06, -2.056651240590046E+01,  1.402156077594684E+01,  5.651106744051422E-01   179,138,134
Deimos    Mars      1.80e15     6200      9.188798987617676E+07,  2.066727875830320E+08,  2.047401354170829E+06, -1.995025369027309E+01,  1.215067110783206E+01,  2.248385092504330E-01   214,194,165
Ceres     Sol       3.3835e20   469630    4.342466295544251E+08, -7.185052558755793E+06, -8.042782510238674E+07, -1.972313765406339E-01,  1.667847143465983E+01,  5.616588744775184E-01   220,220,220
Pallas    Sol       2.04e20     272500    3.353566360420764E+08, -3.264963860713250E+08,  1.976202139585261E+08,  1.025430809808933E+01,  7.619314040230619E+00, -6.149566387543036E+00   220,220,220
Juno      Sol       2.86e19     135700    -2.916771664567915E+08, -3.947378692576815E+08,  1.016808274394780E+08,  1.122824330158094E+01, -8.288992228361812E+00,  1.423712045575927E+00  220,220,220
Vesta     Sol       2.59076e20  262700    -3.027928425065608E+08,  1.947365177482966E+08,  3.094002042171986E+07, -8.708134286788480E+00, -1.685075497166330E+01,  1.562098914258431E+00  220,220,220
Astraea   Sol       2.9e18      123000    -2.333596019323758E+08, -2.877647053575823E+08,  3.483194868556811E+07,  1.242206535192405E+01, -1.462851766178473E+01,  3.502547042434978E-01  220,220,220
Jupiter   Sol       1.89813e27  71492000  4.540037859635592E+08, -6.106824306900392E+08, -7.623906324884444E+06,  1.032239783053279E+01,  8.414060054413916E+00, -2.659049542642897E-01   214,138,96
Io        Jupiter   893.3e20    1821300   4.540810682561254E+08, -6.110982744736151E+08, -7.637861581156224E+06,  2.731544869417639E+01,  1.151915139326035E+01,  1.047166437987759E-01   201,183,62
Europa    Jupiter   479.7e20    1565000   4.534017785615255E+08, -6.109827267131566E+08, -7.648887819832683E+06,  1.655765527090188E+01, -3.778230446453200E+00, -6.053830108630278E-01   157,203,204
Ganymede  Jupiter   1482e20     2634000   4.538379670435681E+08, -6.117386649905193E+08, -7.666341935853094E+06,  2.107818012148225E+01,  6.738415501247430E+00, -1.826177706377803E-01   150,137,108
Callisto  Jupiter   1076e20     2403000   4.549252205599236E+08, -6.123177605969357E+08, -7.663153864715099E+06,  1.746503221003789E+01,  1.249417055050007E+01, -4.087821890321486E-02   220,220,220
Saturn    Sol       5.6834e26   60268000  8.203511766025622E+08, -1.247065745435617E+09, -1.097618081442171E+07,  7.531928422832593E+00,  5.285840136012268E+00, -3.924010342808322E-01   214,197,96
Mimas     Saturn    3.75e19     198800    8.204374012399062E+08, -1.247212711432652E+09, -1.090184685475457E+07,  2.001082710952174E+01,  1.083344068746318E+01, -4.595899506954390E+00   220,220,220
Enceladus Saturn    10.805e19   252300    8.205268012968967E+08, -1.247213592695870E+09, -1.091571506655139E+07,  1.594802451640426E+01,  1.331141621911865E+01, -5.413888124755760E+00   211,237,237
Tethys    Saturn    61.76e19    536300    8.206073576968952E+08, -1.246945202030201E+09, -1.105798331452435E+07,  1.980313051605227E+00,  1.428723208354279E+01, -4.513240701072506E+00   220,220,220
Dione     Saturn    109.572e19  562500    8.199858775883600E+08, -1.246970821574833E+09, -1.099040080515325E+07,  5.155088754895871E+00, -3.238661044537015E+00,  4.308842654799842E+00   220,220,220
Rhea      Saturn    230.9e19    764500    8.198422401058140E+08, -1.246929265024358E+09, -1.100155246895349E+07,  5.407033075234315E+00, -1.905371635938290E+00,  3.562185651241816E+00   220,220,220
Titan     Saturn    13455.3e19  2575500   8.192115871775407E+08, -1.246557955247298E+09, -1.112444806348556E+07,  5.276734540683949E+00,  1.002838598742363E+00,  2.040175162749194E+00   255,197,105
Iapetus   Saturn    180.59e19   734500    8.191394738885840E+08, -1.243744703925000E+09, -1.149953872327328E+07,  4.506997127759309E+00,  4.407488895033722E+00,  4.227959544491176E-01   133,143,120
Uranus    Sol       86.813e24   25559000  2.295337517118387E+09,  1.865127116213594E+09, -2.280921543573439E+07, -4.344308660369480E+00,  4.967784636967886E+00,  7.467911258914928E-02   173,233,255
Miranda   Uranus    0.659e20    234200    2.295448111537494E+09,  1.865095034398888E+09, -2.286929234338117E+07, -7.662121570777511E+00,  4.364227142209933E+00, -5.690211334277143E+00   220,220,220
Ariel     Uranus    13.53e20    581100    2.295161413345710E+09,  1.865156249456933E+09, -2.287721204905701E+07, -6.131128849857393E+00,  6.063061775447804E+00,  5.166911121214213E+00   220,220,220
Umbriel   Uranus    11.72e20    584700    2.295549614372347E+09,  1.865060357663219E+09, -2.295722805908072E+07, -6.990321522671376E+00,  5.016107311965762E+00, -3.745729332318215E+00   220,220,220
Titania   Uranus    35.27e20    788900    2.295096572865150E+09,  1.865129146763577E+09, -2.317274372939992E+07, -7.286106868869586E+00,  5.885423398041317E+00,  2.022562876932790E+00   220,220,220
Oberon    Uranus    30.14e20    761400    2.295489730704046E+09,  1.865015557606181E+09, -2.336077768988729E+07, -7.315566829309230E+00,  5.482911598697919E+00, -8.511250880584174E-01   220,220,220
Neptune   Sol       1.02413e26  24766000  4.406236823119367E+09, -7.817717029438620E+08, -8.544716559465778E+07,  9.128318250443109E-01,  5.384082384462778E+00, -1.312924982850703E-01   47,100,224
Proteus   Neptune   4.4e19      208000    4.406169832926709E+09, -7.816932976947308E+08, -8.539045326535308E+07, -4.699134763352411E+00,  2.501181480879734E-01,  3.328693274647143E-01   255,193,181
Triton    Neptune   2.1390e22   1352600   4.406406150450633E+09, -7.814862193740914E+08, -8.532193355223590E+07,  4.050519151302368E+00,  4.849163139074521E+00, -3.154508426079736E+00   219,211,237
Pluto     Sol       1.307e22    1188300   2.102443877386410E+09, -4.660321315628325E+09, -1.094673572435462E+08,  5.099594945825250E+00,  1.083844905205062E+00, -1.592042004378079E+00   222,213,195
Charon    Pluto     1.52e21     605000    2.102444602096978E+09, -4.660331109396467E+09, -1.094443164313602E+08,  4.935826612653801E+00,  9.496864240376273E-01, -1.521602193256026E+00   220,220,220
Spacecraft    Vessel    100         100   4.548379670435681E+08, -6.117386649905193E+08, -7.666341935853094E+06,  2.107818012148225E+01,  6.738415501247430E+00, -1.826177706377803E-01  255,255,255
