Name      Parent    Mass        Radius    Colour      Eccentricity            Periapsis               Inclination             Longitude Ascending     Argument Periapsis      Time of Periapsis       Mean motion             Mean anomaly            True anomaly            Semi-major Axis         Apoapsis                Orbital period
Sol       None      1.9885e30   696342000 255,245,156 0e0,                    0e0,                    0e0,                    0e0,                    0e0,                    0e0,                    0e0,                    0e0,                    0e0,                    0e0,                    0e0,                    0e0,
Mercury   Sol       3.302e23    2440000   228,218,235 2.056363825182864E-01,  4.600084006082440E+07,  7.003685014078541E+00,  4.830463433763850E+01,  2.918661902527411E+01,  2.459243590114383E+06,  4.736514364184650E-05,  2.450454650503178E+02,  2.261218885400791E+02,  5.790904700124102E+07,  6.981725394165763E+07,  7.600525878738065E+06,
Venus     Sol       48.685e23   6051840   240,212,113 6.788676328948705E-03,  1.074734263562519E+08,  3.394539890725272E+00,  7.662280261186382E+01,  5.508081360274569E+01,  2.459153445904179E+06,  1.854341988448794E-05,  9.942006133585623E+01,  1.001864086458685E+02,  1.082080155500188E+08,  1.089426047437857E+08,  1.941389464524554E+07,
Earth     Sol       5.97219e24  6371010   107,155,250 1.593011437471795E-02,  1.470928122002639E+08,  2.865655588045652E-03,  2.081932569221451E+02,  2.543810642023471E+02,  2.459217539887325E+06,  1.142170233521145E-05,  3.579869676250315E+02,  3.579215442785928E+02,  1.494739493087938E+08,  1.518550864173236E+08,  3.151894432497792E+07,
Luna      Earth     7.349e22    1737530   230,230,230 3.752109909226673E-02,  3.671440005827228E+05,  5.244919734790717E+00,  7.962340298182825E+01,  1.363784072969759E+02,  2.459222302732644E+06,  1.516751513709541E-04,  2.708520044992769E+02,  2.665539132776443E+02,  3.814566742569234E+05,  3.957693479311240E+05,  2.373493593024626E+06,
Mars      Sol       6.4171e23   3389920   204,124,90  9.333148193309596E-02,  2.066614865024756E+08,  1.847921308947788E+00,  4.949399237077397E+01,  2.866400900889998E+02,  2.459064925052878E+06,  6.065435662060548E-06,  7.890934931318711E+01,  8.958308722520387E+01,  2.279349976142282E+08,  2.492085087259809E+08,  5.935270276656450E+07,
Phobos    Mars      1.08e16     11100     179,138,134 1.469243261128648E-02,  9.240076535125161E+03,  2.768872712064367E+01,  8.384857797404618E+01,  8.241052545560132E+01,  2.459215344572084E+06,  1.305668115675349E-02,  1.753378042728004E+02,  1.754721893655815E+02,  9.377860112871596E+03,  9.515643690618032E+03,  2.757209092249237E+04,
Deimos    Mars      1.80e15     6200      214,194,165 1.429946546326138E-04,  2.345479021469844E+04,  2.482836549159279E+01,  7.927919400669606E+01,  3.497180362855145E+02,  2.459216041033324E+06,  3.300258397285517E-03,  2.057284997370535E+02,  2.057213876095743E+02,  2.345814460398440E+04,  2.346149899327036E+04,  1.090823677006934E+05,
Ceres     Sol       3.3835e20   469630    220,220,220 7.819474317755487E-02,  3.814350349924357E+08,  1.058791683425763E+01,  8.027160009628567E+01,  7.372829824751567E+01,  2.459921417762834E+06,  2.479741150928084E-06,  2.087573766620953E+02,  2.047908015399484E+02,  4.137913427693832E+08,  4.461476505463307E+08,  1.451764430594960E+08,
Pallas    Sol       2.04e20     272500    220,220,220 2.297356500237852E-01,  3.196947058512131E+08,  3.485715697867877E+01,  1.729613596760541E+02,  3.102960669198412E+02,  2.460008925561219E+06,  2.468510505247389E-06,  1.907787456286786E+02,  1.869471070575276E+02,  4.150454397390779E+08,  5.103961736269428E+08,  1.458369325286390E+08,
Juno      Sol       2.86e19     135700    220,220,220 2.569874377419401E-01,  2.965584771298532E+08,  1.299149062928497E+01,  1.698531203888663E+02,  2.480302601323388E+02,  2.458445666206545E+06,  2.617623433956956E-06,  1.741076620992314E+02,  1.763943174060390E+02,  3.991298292839009E+08,  5.017011814379485E+08,  1.375293311214755E+08,
Vesta     Sol       2.59076e20  262700    220,220,220 8.842211514165950E-02,  3.221071539633654E+08,  7.141641723834746E+00,  1.038082572289806E+02,  1.509293836282639E+02,  2.459574116087635E+06,  3.142451361424044E-06,  2.626329358526083E+02,  2.527734384135721E+02,  3.533512158573493E+08,  3.845952777513333E+08,  1.145602456793034E+08,
Astraea   Sol       2.9e18      123000    220,220,220 1.907790635784707E-01,  3.115560561956483E+08,  5.367533983812713E+00,  1.415717398648266E+02,  3.586254509675472E+02,  2.458925646838431E+06,  2.762961405932038E-06,  6.919370773644410E+01,  9.097160549434903E+01,  3.850074091920878E+08,  4.584587621885274E+08,  1.302949795922177E+08,
Jupiter   Sol       1.89813e27  71492000  214,138,96  4.858596582175090E-02,  7.404510476060708E+08,  1.303879852699562E+00,  1.005232020185433E+02,  2.737226430825058E+02,  2.459967795622209E+06,  9.618236249090421E-07,  2.974830593164643E+02,  2.924082416412458E+02,  7.782637432352043E+08,  8.160764388643379E+08,  3.742889971475223E+08,
Io        Jupiter   893.3e20    1821300   201,183,62  4.204155292496716E-03,  4.197352969590369E+05,  2.256988413520767E+00,  3.373749554674438E+02,  1.561999637862521E+02,  2.459214779664567E+06,  2.356646268757882E-03,  1.466705500338142E+02,  1.469340962615741E+02,  4.215073794391323E+05,  4.232794619192278E+05,  1.527594551513857E+05,
Europa    Jupiter   479.7e20    1565000   157,203,204 9.792465741270870E-03,  6.644068011719369E+05,  2.568419764714378E+00,  3.306367988651405E+02,  3.456908661865725E+02,  2.459216572635979E+06,  1.173422968006380E-03,  2.512521479766092E+02,  2.501937769048268E+02,  6.709773236267212E+05,  6.775478460815054E+05,  3.067947447897940E+05,
